,time,E,A1, A2,tE
0,0.0,3.9995712648187216,-0.00409039458106304,-0.0065503889303108334,-0.007937870592218848
1,1.46,3.865549558685795,0.17046598390424098,0.2054634489956432,-0.010635793424579926
2,3.46,3.5842997488550785,0.38311643392808037,0.4843133665655568,0.05423296788018611
3,5.46,3.7201534749473244,0.5940251764115511,0.7652576268287321,0.09276572070435284
4,7.46,3.1424682709026563,0.6158045287022271,0.8978107520018147,0.15356025642059837
5,9.46,2.8200538392752668,0.7013497726972463,1.0435279812413079,0.19516520772242943
6,11.46,2.92086854763518,0.655927124480373,1.223034175423086,0.22965622060477422
7,13.46,2.6907660840080094,0.7788258053955752,1.3793161904443652,0.2880101247779056
8,15.46,2.5598639622467543,0.9420410374950886,1.7497310981239527,0.34320745734037206
9,19.46,2.0556171552281324,0.8987007856845924,1.5989103917253518,0.4197446231004877
10,23.46,2.058982575471855,0.9436101428059892,1.9727399868185633,0.5214616588414588
11,27.46,1.9374289793077653,0.9488337753694681,2.1600347219383136,0.5909273004827925
12,31.46,1.6905446990855046,0.8770391856702039,2.186635835804283,0.6591297491468299
13,40.46,1.5953592112467643,0.8463610878694191,2.4861666109263933,0.8037588815316555
14,50.46,1.466502718727248,0.6596180933245654,2.594341825774996,0.9177141851697898
15,60.46,1.397991892301861,0.6622162219583949,2.1581645253403865,0.9806507335809282
16,90.46,1.3084617040067386,0.6814272035776833,2.7958011388497566,0.9698040060306444
17,120.46,1.185131114432349,0.7175592493088808,3.00057715662882,0.9855156102612849
18,150.46,1.195682248906681,0.8258968058312199,2.6807678265866937,0.9522429931924921
19,180.46,0.9522120779016021,0.9508208625942729,3.2156346214205342,0.9592364282621303
20,240.46,0.983530643431632,1.010226677672934,2.9998392168050554,0.9555065272368399
21,300.46,0.8388589568542624,1.2298172385343165,3.382460447064092,1.024887820138509
22,360.46,0.7182935720723528,1.3134797597597958,3.4177985710567578,0.968266414502683
23,440.46,0.5929604031037544,1.594978759159311,3.499517677636791,0.8505018558433911
24,530.46,0.5271653261128788,1.7406882592874506,3.3423539870135324,0.864403480136472
25,620.46,0.4360710510115203,2.0372889210679674,3.356091219472904,0.7457235693811128
26,810.46,0.2925230385125678,2.6795993437673844,3.4771229788191373,0.5702845869510784
27,900.46,0.24112629527417684,2.755902792913546,3.9462178365311225,0.5017838048879979
28,955.0,0.17258449502972403,3.0110067902541777,3.759513242512603,0.4697067567239249
29,1246.0,0.09023544133069054,3.3571895805021716,3.9938851827720927,0.22034057447299096
